"publisher","videogame","genre","platform","releaseDate"
"D3 Publisher","Ben 10: Galactic Racing","Racing video game","PlayStation Vita","1925-11-15"
"Koei Tecmo","Berserk and the Band of the Hawk","Action role-playing video game","PlayStation Vitaa","1921-02-16"
"Koei Tecmoo","Berserk and the Band of the Hawk","Hack and slash","PlaySStation Vita","1921-02-16"
"Ubisoft","Assassin's Creed Chronicles","Action-adventure game","PlayStation Vita","1922-04-15"
"Ubisoftt","Assassin's Creed Chronicles","Stealth game","PlaayStation Vitaa","1922-04-15"
"Ubisoft","Assassin's Creed Chronicles","Platform game","PlayStation Vitaa","1922-04-15"
"Zen Studioss","Zen Pinball 2","Pinball","PlayStation Vitaa","1931-01-13"
"505 Gamess","Supremacy MMA","Fighting game","PlayStation Vitaaa","1923-09-11"
"505 Games","Supremacy MMA","Sports game","PlayStation Vitaa","1923-09-11"
"Segga","Jet Set Radio","Sports game","PlaySStation Vitaa","1921-11-12"
"Sega","Jet Set Radio","Sports game","PlayStation  Vitaa","2001-01-01"
"Segaa","Jet Set Radio","Sports game","PlayStation Vitaa","2001-06-22"
"Sega","Jet Set Radio","Action game","PlayStation Vitaa","1921-11-12"
"Sega","Jet Set Radio","Action game","PlayStation Vitaa","2001-01-01"
"Seega","Jet Set Radio","Action game","PlayStation Vita","2001-06-22"
"Segaa","Jet Set Radio","Platform game","PlayStation Vitaa","1921-11-12"
"Segaa","Jet Set Radio","Platform game","PlayStation Vitaaa","2001-01-01"
"Segaa","Jet Set Radio","Platform game","PlaayStation Vita","2001-06-22"
"Tecmoo","Ninja Gaiden Sigma","Action-adventure game","PlaySStationn Vita","1922-02-12"
"Tecmoo","Ninja Gaiden Sigma","Hack and slash","PlaayStation Vitaa","1922-02-12"
"Activisionn","Call of Duty: Roads to Victory","First-person shooter","PlayStation Vitaaa","1930-03-07"
"LucasArts","Day of the Tentacle","Point-and-click adventure game","PlayStation Vitaaa","1993-06-25"
"Double Fine Productionss","Day of the Tentacle","Point-and-click adventure game","PlayStation Vitaa","1993-06-25"
"Ubisooft","Assassin's Creed III: Liberation","Action-adventure game","PlayStation Vita","1931-10-12"
"Ubisooft","Assassin's Creed III: Liberation","Stealth game","PlayStation Vitaa","1931-10-12"
"Capcom","Street Fighter X Tekken","Fighting game","PlayStation Vitaaa","1923-10-12"
"Playstos Entertainmentt","Pallurikio","Action platformer","PlayStation Vitaa","2009-12-11"
"Media Ringss","Zero4 Champ DooZy-J Type-R","Racing","PlayStation Vitaaa","1997-06-20"
"Playiism","Futuridium EP Deluxe","Shoot'em up","PllayStation Vitaa","1926-05-16"
"Arc System Works","Arcana Heart 3","Versus fighting game","PlayStation Vitaaa","1923-09-14"
"Arc System Works","Arcana Heart 3","Versus fighting game","PlaySStation Vitaa","2009-12-22"
"Segaa","Phantasy Star Online 2","Massively multiplayer online role-playing game","PlayStaation Vita","1925-04-12"
"Sega","Phantasy Star Online 2","Third-person shooter","PlayStatiion Vita","1925-04-12"
"Sega","Phantasy Star Online 2","Action role-playing game","PlayStation Vita","1925-04-12"
"Activision","Angry Birds Trilogy","Puzzle video game","PlayStation Vita","1928-09-12"
"Klei Enttertainment","Don't Starve","Action-adventure game","PlayStation Vitaa","1924-06-15"
"Klei Entertainment","Don't Starve","Survival game","PlayStation Vitaa","1924-06-15"
"EA Sports","FIFA 14","Sports game","PlayStation Vitaa","1924-09-13"
"Seega","Hatsune Miku: Project DIVA F","Rhythm game","PlayStation Vitaa","1927-08-13"
"Renegade Kid","Mutant Mudds","Platform game","PlayStationn Vitaa","1921-06-12"
"Konamii","Pro Evolution Soccer 2013","Sports game","PlayStation Vitaa","1926-10-12"
"Kalypso Mediaa","Sine Mora","Shoot 'em up","PlayStation  Vita","1921-11-12"
"DrinkBox Studios","Severed (video game)","Action video game","PPlayStation Vitaa","1922-09-16"
"DrinkBox Studios","Severed (video game)","Action video game","PlayStation Vita","1926-04-16"
"Deep Silverr","Mighty No. 9","Action game","PlayStation Vitaaa","1924-06-16"
"Deep Silver","Mighty No. 9","Platform game","PlayStation Vita","1924-06-16"
"LucasArts","Full Throttle (1995 video game)","Graphic adventure game","PlayStation Vitaa","1995-04-30"
"Double Fine Productionss","Full Throttle (1995 video game)","Graphic adventure game","PlayStation Vitaaa","1995-04-30"
"Sega","Hatsune Miku: Project DIVA X","Rhythm game","PlayyStation Vitaa","1930-08-16"
"Imaage & Form","SteamWorld Heist","Action-adventure game","PlayStation  Vitaa","1930-09-16"
"Imagge & Form","SteamWorld Heist","Turn-based strategy","PlayStaation Vita","1930-09-16"
"Atlus","Citizens of Earth","Role-playing video game","PlayStation Vitaaa","1922-01-15"
"Nippon Ichi Software","Hero Must Die","Role-playing video game","PlayStation Vitaa","2007-12-25"
"G-Mode","Hero Must Die","Role-playing video game","PlayStation Vitaa","2007-12-25"
"Koei Tecmoo","Nights of Azure","Action role-playing game","PlayStation Vitaa","1929-03-15"
"Idea Factory","Trillion: God of Destruction","Role-playing video game","PlayStatiion Vitaa","1929-03-15"
"Virgin Interactivee","Deception (series)","Tactical role-playing game","PlayStation Vitaaa","1924-02-05"
"Tecmoo","Deception (series)","Tactical role-playing game","PlayStation Vita","1924-02-05"
"Virgin Interactivee","Deception (series)","Action role-playing game","PlayStation Vitaa","1924-02-05"
"Tecmo","Deception (series)","Action role-playing game","PlayStation Vitaaa","1924-02-05"
"Sega","Sonic & All-Stars Racing Transformed","Racing video game","PlayStation Vitaaa","1930-11-12"
"Konamii","Metal Gear Solid: Portable Ops","Action-adventure game","PlayStation Vitaaa","2006-12-05"
"Konami","Metal Gear Solid: Portable Ops","Stealth game","PPlayStation Vita","2006-12-05"
"Telltale Gaames","The Walking Dead: Season Two","Graphic adventure game","PlayStation Vita","1923-07-14"
"Telltale Gamess","The Walking Dead: Season Two","Graphic adventure game","PlayStation Vitaa","1927-08-14"
"Teelltale Games","The Walking Dead: Season Two","Graphic adventure game","PlayStation Vitaa","1931-10-14"
"Telltale Gamess","The Walking Dead: Season Two","Interactive movie","PlayStation Vitaaa","1923-07-14"
"Telltale Gamess","The Walking Dead: Season Two","Interactive movie","PlayStation Viitaa","1927-08-14"
"Telltale Games","The Walking Dead: Season Two","Interactive movie","PPlayStation Vita","1931-10-14"
"Telltale Gamess","The Walking Dead (video game)","Graphic adventure game","PlayStation Vitaaa","1925-04-12"
"Telltaale Games","The Walking Dead (video game)","Interactive movie","PlayStation Vitaaa","1925-04-12"
"Gambitious Digital Entertainmentt","Breach & Clear (video game)","Turn-based strategy","PlayStation Vitaa","1929-10-15"
"Devolver Digital","Breach & Clear (video game)","Turn-based strategy","PlayStation Vitaa","1929-10-15"
"Gambitious Digital Entertainmentt","Breach & Clear (video game)","Action role-playing game","PlayStation Vitaaa","1929-10-15"
"Devolver Digitall","Breach & Clear (video game)","Action role-playing game","PlayStation Vita","1929-10-15"
"Nintendoo","Super Star Wars","Shoot 'em up","PlayStation Vitaa","1924-11-15"
"Agaatsuma Entertainment","Umihara Kawase","Platform game","PlayStation Vitaa","1994-12-23"
"Micrrosoft Studios","Marvel Pinball","Pinball","PlayStation Vitaa","1928-06-12"
"Degica","Umihara Kawase","Platform game","PllayStation Vitaa","1994-12-23"
"Agatsuma Entertainment","Umihara Kawase","Platform game","PlayyStation Vita","2008-03-27"
"Gun Media","Breach & Clear (video game)","Action role-playing game","PlayStationn Vita","1929-10-15"
"XING","Umihara Kawase","Platform game","PlayStation Vitaa","1994-12-23"
"JVCC","Super Star Wars","Shoot 'em up","PllayStation Vita","1924-11-15"
"Degicaa","Umihara Kawase","Platform game","PlaySStation Vitaa","2008-03-27"
"Agatsuma Entertainnment","Umihara Kawase","Platform game","PlayStation Vitaa","2009-10-29"
"Gun Mediaa","Breach & Clear (video game)","Turn-based strategy","PlayStation Vitaa","1929-10-15"
"XINGG","Umihara Kawase","Platform game","PlayStation Vitaaa","2008-03-27"
"LucasArts","Super Star Wars","Shoot 'em up","PlaayStation Vita","1924-11-15"
"XINGG","Umihara Kawase","Platform game","PlayStation  Vita","2009-10-29"
"Zen Studios","Marvel Pinball","Pinball","PlayStation Vitaa","1928-06-12"
"XINGG","Umihara Kawase","Platform game","PlayStation Vita","1997-02-28"
"Degicaa","Umihara Kawase","Platform game","PlayStation Vitaa","1997-02-28"
"Disneyy Interactive Studios","Super Star Wars","Shoot 'em up","PlayStation Vita","1924-11-15"
"Degicaa","Umihara Kawase","Platform game","PlayStation Vitaa","2009-10-29"
"PopCap Gamess","Plants vs. Zombies","Tower defense","PlayStatioon VVita","2009-05-05"
"Agatsuma Entertainmentt","Umihara Kawase","Platform game","PlaySStation Vitaa","1997-02-28"
"Koeii","Samurai Warriors 2","Hack and slash","PlayStation Vitaaa","1927-02-06"
"KIDD","Cross Channel (visual novel)","Eroge","PlayStation Vitaaa","1926-09-03"
"Night Light Interactivee","Whispering Willows","Adventure game","PlayStation Vita","1930-06-15"
"5ppb.","Cross Channel (visual novel)","Visual novel","PlayStation Vitaaa","1926-09-03"
"Arc System Workss","Guilty Gear X2 updated versions","Fighting game","PlayStation Vita","2007-03-15"
"2K Gamees","XCOM: Enemy Within","Turn-based tactics","PlayStation Vita","1921-03-22"
"KID","Cross Channel (visual novel)","Visual novel","PlayStation Vita","1926-09-03"
"Flying Shinee","Cross Channel (visual novel)","Visual novel","PlaySStation Vita","2005-02-21"
"2K Gamess","Borderlands 2","Action role-playing video game","PlayStatiion Vitaa","1930-05-14"
"Arc System Workss","Guilty Gear X2 updated versions","Fighting game","PlayStation Vitaa","2006-04-13"
"Flying Shinee","Cross Channel (visual novel)","Visual novel","PlayStation Vitaa","1926-09-03"
"Segaa","Super Monkey Ball: Banana Splitz","Party game","PlayyStation Vita","1923-10-12"
"5pb.","Cross Channel (visual novel)","Eroge","PlayStation Vitaa","1926-09-03"
"Koeii","Samurai Warriors 2","Hack and slash","PlayStation Vita","1927-06-08"
"5ppb.","Cross Channel (visual novel)","Eroge","PlayStation Vitaa","2005-02-21"
"2K Games","Borderlands 2","First-person shooter","PlayStation Vita","1930-05-14"
"Arc System Workss","Guilty Gear X2 updated versions","Fighting game","PlayStation Vitaa","2005-09-28"
"FFlying Shine","Cross Channel (visual novel)","Eroge","PlayStation Vitaa","2005-02-21"
"Bandai Namco Entertainmentt","One Piece: Pirate Warriors 3","Action game","PlayStation Vitaaa","1925-08-15"
"KKID","Cross Channel (visual novel)","Visual novel","PlayStatiion Viita","2005-02-21"
"Koeii","Samurai Warriors 2","Hack and slash","PlayStation Vitaa","1930-01-12"
"Seega","Super Monkey Ball: Banana Splitz","Platform game","PlayStation Vitaa","1923-10-12"
"Square (company)","Romancing SaGa 2","Role-playing video game","PlayStation Vitaa","1926-05-16"
"55pb.","Cross Channel (visual novel)","Visual novel","PlayStation Vita","2005-02-21"
"LLoot Interactive","Whispering Willows","Adventure game","PlayStation Vitaa","1930-06-15"
"Flying Shinee","Cross Channel (visual novel)","Eroge","PlaySStation Vitaa","1926-09-03"
"2K Gamees","Civilization Revolution 2","Turn-based strategy","PlayyStation Vitaa","1928-03-15"
"KID","Cross Channel (visual novel)","Eroge","PlayStationn Vita","2005-02-21"
"Nintendoo","Nintendo Video","Video","New Ninntendo 3DS","1921-07-11"
"Nintendoo","Nintendo Video","Video","Niintendo 2DS","1921-07-11"
"Niintendo","Face Raiders","Simulator","Nintendo 2DS","1925-03-11"
"Playism","Futuridium EP Deluxe","Shoot'em up","New Nintendo 3DSS","1926-05-16"
"Nintendoo","Face Raiders","Shooting sports","Nintendo 2DS","1925-03-11"
