"publisher","videogame","genre","platform","releaseDate"
"Playism","Futuridium EP Deluxe","Shoot'em up","PlayStation Vita","1926-05-16"
"Arc System Works","Arcana Heart 3","Versus fighting game","PlayStation Vita","1923-09-14"
"Arc System Works","Arcana Heart 3","Versus fighting game","PlayStation Vita","2009-12-22"
"Sega","Phantasy Star Online 2","Massively multiplayer online role-playing game","PlayStation Vita","1925-04-12"
"Sega","Phantasy Star Online 2","Third-person shooter","PlayStation Vita","1925-04-12"
"Sega","Phantasy Star Online 2","Action role-playing game","PlayStation Vita","1925-04-12"
"Activision","Angry Birds Trilogy","Puzzle video game","PlayStation Vita","1928-09-12"
"Klei Entertainment","Don't Starve","Action-adventure game","PlayStation Vita","1924-06-15"
"Klei Entertainment","Don't Starve","Survival game","PlayStation Vita","1924-06-15"
"EA Sports","FIFA 14","Sports game","PlayStation Vita","1924-09-13"
"Sega","Hatsune Miku: Project DIVA F","Rhythm game","PlayStation Vita","1927-08-13"
"Renegade Kid","Mutant Mudds","Platform game","PlayStation Vita","1921-06-12"
"Konami","Pro Evolution Soccer 2013","Sports game","PlayStation Vita","1926-10-12"
"Kalypso Media","Sine Mora","Shoot 'em up","PlayStation Vita","1921-11-12"
"DrinkBox Studios","Severed (video game)","Action video game","PlayStation Vita","1922-09-16"
"DrinkBox Studios","Severed (video game)","Action video game","PlayStation Vita","1926-04-16"
"Deep Silver","Mighty No. 9","Action game","PlayStation Vita","1924-06-16"
"Deep Silver","Mighty No. 9","Platform game","PlayStation Vita","1924-06-16"
"LucasArts","Full Throttle (1995 video game)","Graphic adventure game","PlayStation Vita","1995-04-30"
"Double Fine Productions","Full Throttle (1995 video game)","Graphic adventure game","PlayStation Vita","1995-04-30"
"Sega","Hatsune Miku: Project DIVA X","Rhythm game","PlayStation Vita","1930-08-16"
"Image & Form","SteamWorld Heist","Action-adventure game","PlayStation Vita","1930-09-16"
"Image & Form","SteamWorld Heist","Turn-based strategy","PlayStation Vita","1930-09-16"
"Atlus","Citizens of Earth","Role-playing video game","PlayStation Vita","1922-01-15"
"Nippon Ichi Software","Hero Must Die","Role-playing video game","PlayStation Vita","2007-12-25"
"G-Mode","Hero Must Die","Role-playing video game","PlayStation Vita","2007-12-25"
"Koei Tecmo","Nights of Azure","Action role-playing game","PlayStation Vita","1929-03-15"
"Idea Factory","Trillion: God of Destruction","Role-playing video game","PlayStation Vita","1929-03-15"
"Virgin Interactive","Deception (series)","Tactical role-playing game","PlayStation Vita","1924-02-05"
"Tecmo","Deception (series)","Tactical role-playing game","PlayStation Vita","1924-02-05"
"Virgin Interactive","Deception (series)","Action role-playing game","PlayStation Vita","1924-02-05"
"Tecmo","Deception (series)","Action role-playing game","PlayStation Vita","1924-02-05"
"Sega","Sonic & All-Stars Racing Transformed","Racing video game","PlayStation Vita","1930-11-12"
"Konami","Metal Gear Solid: Portable Ops","Action-adventure game","PlayStation Vita","2006-12-05"
"Konami","Metal Gear Solid: Portable Ops","Stealth game","PlayStation Vita","2006-12-05"
"Telltale Games","The Walking Dead: Season Two","Graphic adventure game","PlayStation Vita","1923-07-14"
"Telltale Games","The Walking Dead: Season Two","Graphic adventure game","PlayStation Vita","1927-08-14"
"Telltale Games","The Walking Dead: Season Two","Graphic adventure game","PlayStation Vita","1931-10-14"
"Telltale Games","The Walking Dead: Season Two","Interactive movie","PlayStation Vita","1923-07-14"
"Telltale Games","The Walking Dead: Season Two","Interactive movie","PlayStation Vita","1927-08-14"
"Telltale Games","The Walking Dead: Season Two","Interactive movie","PlayStation Vita","1931-10-14"
"Telltale Games","The Walking Dead (video game)","Graphic adventure game","PlayStation Vita","1925-04-12"
"Telltale Games","The Walking Dead (video game)","Interactive movie","PlayStation Vita","1925-04-12"
"Gambitious Digital Entertainment","Breach & Clear (video game)","Turn-based strategy","PlayStation Vita","1929-10-15"
"Devolver Digital","Breach & Clear (video game)","Turn-based strategy","PlayStation Vita","1929-10-15"
"Gambitious Digital Entertainment","Breach & Clear (video game)","Action role-playing game","PlayStation Vita","1929-10-15"
"Devolver Digital","Breach & Clear (video game)","Action role-playing game","PlayStation Vita","1929-10-15"
"Nintendo","Super Star Wars","Shoot 'em up","PlayStation Vita","1924-11-15"
"Agatsuma Entertainment","Umihara Kawase","Platform game","PlayStation Vita","1994-12-23"
"Microsoft Studios","Marvel Pinball","Pinball","PlayStation Vita","1928-06-12"
"Degica","Umihara Kawase","Platform game","PlayStation Vita","1994-12-23"
"Agatsuma Entertainment","Umihara Kawase","Platform game","PlayStation Vita","2008-03-27"
"Gun Media","Breach & Clear (video game)","Action role-playing game","PlayStation Vita","1929-10-15"
"XING","Umihara Kawase","Platform game","PlayStation Vita","1994-12-23"
"JVC","Super Star Wars","Shoot 'em up","PlayStation Vita","1924-11-15"
"Degica","Umihara Kawase","Platform game","PlayStation Vita","2008-03-27"
"Agatsuma Entertainment","Umihara Kawase","Platform game","PlayStation Vita","2009-10-29"
"Gun Media","Breach & Clear (video game)","Turn-based strategy","PlayStation Vita","1929-10-15"
"XING","Umihara Kawase","Platform game","PlayStation Vita","2008-03-27"
"LucasArts","Super Star Wars","Shoot 'em up","PlayStation Vita","1924-11-15"
"XING","Umihara Kawase","Platform game","PlayStation Vita","2009-10-29"
"Zen Studios","Marvel Pinball","Pinball","PlayStation Vita","1928-06-12"
"XING","Umihara Kawase","Platform game","PlayStation Vita","1997-02-28"
"Degica","Umihara Kawase","Platform game","PlayStation Vita","1997-02-28"
"Disney Interactive Studios","Super Star Wars","Shoot 'em up","PlayStation Vita","1924-11-15"
"Degica","Umihara Kawase","Platform game","PlayStation Vita","2009-10-29"
"PopCap Games","Plants vs. Zombies","Tower defense","PlayStation Vita","2009-05-05"
"Agatsuma Entertainment","Umihara Kawase","Platform game","PlayStation Vita","1997-02-28"
"Koei","Samurai Warriors 2","Hack and slash","PlayStation Vita","1927-02-06"
"KID","Cross Channel (visual novel)","Eroge","PlayStation Vita","1926-09-03"
"Night Light Interactive","Whispering Willows","Adventure game","PlayStation Vita","1930-06-15"
"5pb.","Cross Channel (visual novel)","Visual novel","PlayStation Vita","1926-09-03"
"Arc System Works","Guilty Gear X2 updated versions","Fighting game","PlayStation Vita","2007-03-15"
"2K Games","XCOM: Enemy Within","Turn-based tactics","PlayStation Vita","1921-03-22"
"KID","Cross Channel (visual novel)","Visual novel","PlayStation Vita","1926-09-03"
"Flying Shine","Cross Channel (visual novel)","Visual novel","PlayStation Vita","2005-02-21"
"2K Games","Borderlands 2","Action role-playing video game","PlayStation Vita","1930-05-14"
"Arc System Works","Guilty Gear X2 updated versions","Fighting game","PlayStation Vita","2006-04-13"
"Flying Shine","Cross Channel (visual novel)","Visual novel","PlayStation Vita","1926-09-03"
"Sega","Super Monkey Ball: Banana Splitz","Party game","PlayStation Vita","1923-10-12"
"5pb.","Cross Channel (visual novel)","Eroge","PlayStation Vita","1926-09-03"
"Koei","Samurai Warriors 2","Hack and slash","PlayStation Vita","1927-06-08"
"5pb.","Cross Channel (visual novel)","Eroge","PlayStation Vita","2005-02-21"
"2K Games","Borderlands 2","First-person shooter","PlayStation Vita","1930-05-14"
"Arc System Works","Guilty Gear X2 updated versions","Fighting game","PlayStation Vita","2005-09-28"
"Flying Shine","Cross Channel (visual novel)","Eroge","PlayStation Vita","2005-02-21"
"Bandai Namco Entertainment","One Piece: Pirate Warriors 3","Action game","PlayStation Vita","1925-08-15"
"KID","Cross Channel (visual novel)","Visual novel","PlayStation Vita","2005-02-21"
"Koei","Samurai Warriors 2","Hack and slash","PlayStation Vita","1930-01-12"
"Sega","Super Monkey Ball: Banana Splitz","Platform game","PlayStation Vita","1923-10-12"
"Square (company)","Romancing SaGa 2","Role-playing video game","PlayStation Vita","1926-05-16"
"5pb.","Cross Channel (visual novel)","Visual novel","PlayStation Vita","2005-02-21"
"Loot Interactive","Whispering Willows","Adventure game","PlayStation Vita","1930-06-15"
"Flying Shine","Cross Channel (visual novel)","Eroge","PlayStation Vita","1926-09-03"
"2K Games","Civilization Revolution 2","Turn-based strategy","PlayStation Vita","1928-03-15"
"KID","Cross Channel (visual novel)","Eroge","PlayStation Vita","2005-02-21"
"Nintendo","Nintendo Video","Video","New Nintendo 3DS","1921-07-11"
"Nintendo","Nintendo Video","Video","Nintendo 2DS","1921-07-11"
"Nintendo","Face Raiders","Simulator","Nintendo 2DS","1925-03-11"
"Playism","Futuridium EP Deluxe","Shoot'em up","New Nintendo 3DS","1926-05-16"
"Nintendo","Face Raiders","Shooting sports","Nintendo 2DS","1925-03-11"
