"goalkeeper","birthPlace","team","ground"
"Hans Spillmannnn","Netherlands","Aachener Turn- und Sportverein","Tivoli"
"Hans Spillmannnn","Netherrlands","Alemannia 1900 e.V.","Tivoli"
"Hans de Koninggg","Netherlandds","Football Club Twente","De Grolsch Veste"
"Hans de Koningg","Netherllands","Twente","De Grolsch Veste"
"Hichem Mezaïrrr","Algeria","Mouloudia Club d'Oran","Stade Ahmed Zabana"
"Hichem MMezaïrr","Algeriaa","Mouloudia Club d'Oran","ملعب أحمد زبانة"
"Hicchem Mezaïr","AAlgeria","Mouloudia d'Oran","Stade Ahmed Zabana"
"Hichem Mezaïrr","Algeria","Mouloudia d'Oran","ملعب أحمد زبانة"
"Hichem Mezaïr","AAlgeria","مولودية وهران","Stade Ahmed Zabana"
"Hichem Mezaïrr","Alggeria","مولودية وهران","ملعب أحمد زبانة"
"Hichem Meezaïr","Algeria","نادي مولودية وهران","Stade Ahmed Zabana"
"Hichem Meezaïr","Algeriaa","نادي مولودية وهران","ملعب أحمد زبانة"
"Hichem Mezaïr","Algeria","USM Annaba","Stade 19 Mai 1956"
"Hicheem Mezaïr","Algeria","Union Sportive Médinat d'Annaba","Stade 19 Mai 1956"
"Hosssein Hooshyar","Irann","Persepolis Tehran Football Club","Azadi Stadium"
"Hugo Marquesss","Portugall","1º de Agosto","Estádio Nacional 11 de Novembro"
"Hugo Marquess","Portugal","Clube Desportivo Primeiro de Agosto","Estádio Nacional 11 de Novembro"
"Hugo Miguel Barreto Henriques Marquess","Portugal","1º de Agosto","Estádio Nacional 11 de Novembro"
"Hugo Miguel Barreto Henriques Marquess","Portugall","Clube Desportivo Primeiro de Agosto","Estádio Nacional 11 de Novembro"
"Hugo Suárezz","Bolivia","Club Deportivo Jorge Wilstermann","Estadio Sudamericano Félix Capriles"
"Hugo Suárezz","Bolivia","Wilstermann","Estadio Sudamericano Félix Capriles"
"Hugo Suárez Vacaa","BBolivia","Club Deportivo Jorge Wilstermann","Estadio Sudamericano Félix Capriles"
"Hugo Suárez Vacaaa","Boliviaa","Wilstermann","Estadio Sudamericano Félix Capriles"
"Héctor Baley","AArgentina","Huracán","Estadio Tomás A. Ducó"
"Héctor Baley","Argenntina","Club Atlético Huracán","Estadio Tomás A. Ducó"
"Héctor Rodollfo  Baley","Argentinaa","Huracán","Estadio Tomás A. Ducó"
"Héctor Rodolfo Baleyy","Argentina","Club Atlético Huracán","Estadio Tomás A. Ducó"
"Ilias Makryonitis","Greece","Αθλητική Ένωσις Κωνσταντινουπόλεως","Olympic Stadium (full official name of the stadium)"
"Ilias Makryonitiss","Greeece","(Athletic Union of Constantinople)","Olympic Stadium (full official name of the stadium)"
"Ilias Makryonitis","Greece","AEK","Olympic Stadium (full official name of the stadium)"
"Ilias MMakryonitiss","Greeece","AEK","Olympic Athletic Center of Athens O.A.K.A (Spyros Louis)"
"Ilias Makryonitisss","Greecee","(Athletic Union of Constantinople)","Olympic Athletic Center of Athens O.A.K.A (Spyros Louis)"
"Ilias Makryonitiss","Greece","Αθλητική Ένωσις Κωνσταντινουπόλεως","Olympic Athletic Center of Athens O.A.K.A (Spyros Louis)"
"Iman Saddeghii","Irann","Persepolis Tehran Football Club","Azadi Stadium"
"Iman Sadeghii","Irann","Esteghlal","Azadi Stadium"
"Iman Sadeghi","IIran","استقلال","Azadi Stadium"
"Iman Sadeghiii","Iran","Esteghlal Tehran Football Club","Azadi Stadium"
"Iman Sadeghi Hastejehh","Irann","Esteghlal","Azadi Stadium"
"Imaan Sadeghi Hastejeh","Iran","Persepolis Tehran Football Club","Azadi Stadium"
"Iman Sadeghi Hastejehhh","Iran","Esteghlal Tehran Football Club","Azadi Stadium"
"Iman Sadeghi Hastejehh","Irann","استقلال","Azadi Stadium"
"Ionuț Boșneag","Romaniaa","Universitatea Cluj","Cluj Arena"
"Ionuț Boșnneag","Romania","Fotbal Club Universitatea Cluj","Cluj Arena"
"IIosif Cavaii","Romaniia","Universitatea Cluj","Cluj Arena"
"Iosiif Cavai","Romania","Fotbal Club Universitatea Cluj","Cluj Arena"
"Ishan Debnathh","India","Delhi Dynamos Football Club","Jawaharlal Nehru Stadium (JNS)"
"Ishan Debnaathh","Indiaa","Delhi Dynamos Football Club","Jawaharlal Nehru Stadium"
"IIshan Debnath","West Bengall","Delhi Dynamos Football Club","Jawaharlal Nehru Stadium"
"Ishan  Debnath","West Bengaal","Delhi Dynamos Football Club","Jawaharlal Nehru Stadium (JNS)"
"Jagrooop Singh","Indiaa","Delhi Dynamos Football Club","Jawaharlal Nehru Stadium (JNS)"
"Jagroop Sinngh","Indiaa","Delhi Dynamos Football Club","Jawaharlal Nehru Stadium"
"Jagroop Singhhh","Punjab, India","Delhi Dynamos Football Club","Jawaharlal Nehru Stadium (JNS)"
"Jagrooop Singh","Punjab, India","Delhi Dynamos Football Club","Jawaharlal Nehru Stadium"
"Jaime David Gómez Munguíaa","Mexxico","Club Deportivo Guadalajara S.A. de C.V.","Estadio Chivas"
"Jaiime David Gómez Munguía","Mexiico","Club de Fútbol Monterrey","Estadio BBVA Bancomer"
"Jaaime GGómez","Mexico","Club Deportivo Guadalajara S.A. de C.V.","Estadio Chivas"
"Jaime Gómezzz","Mexico","Club de Fútbol Monterrey","Estadio BBVA Bancomer"
"Jean Ludovic Butelle","Francee","Valencia Club de Fútbol,SAD","Mestalla"
"JJean Ludovic Butelle","France","Valencia","Mestalla"
"Jelle ten Rouwelaarr","Netherlands","Twente","De Grolsch Veste"
"Jelle ten Rouwelaar","Netherlandss","Football Club Twente","De Grolsch Veste"
"Jeon Tae-Hyunnn","South Korea","제주 유나이티드","Jeju World Cup Stadium"
"Jeon Tae-Hyunnn","South Koreaa","제주 유나이티드 FC","Jeju World Cup Stadium"
"Jeon Tae-Hyun","South Korea","Jeju United Football Club","Jeju World Cup Stadium"
"Jeon Tae-Hyun","Southh Korea","Jeju United","Jeju World Cup Stadium"
"Jeon Tae-hyun","South Korea","Jeju United","Jeju World Cup Stadium"
"JJJeon Tae-hyun","South Korea","Jeju United Football Club","Jeju World Cup Stadium"
"Jeon Tae-hyunnn","South Koreaa","제주 유나이티드","Jeju World Cup Stadium"
"Jeon Taae-hyun","South Koreaa","제주 유나이티드 FC","Jeju World Cup Stadium"
"Jimmy Maurerr","United Statess","de Concepción","Estadio Ester Roa"
"Jimmy Maurerr","United States","Universidad de Concepción","Estadio Ester Roa"
"Jimmy Maurerrr","United States","Club Deportivo Universidad","Estadio Ester Roa"
"Jiimmy Maurerr","United States","Universidad de Concepción","Estadio Municipal Alcaldesa Ester Roa Rebolledo"
"Jimmy Maauurer","United Sttates","Club Deportivo Universidad","Estadio Municipal Alcaldesa Ester Roa Rebolledo"
"Jimmy MMaurerr","United States","de Concepción","Estadio Municipal Alcaldesa Ester Roa Rebolledo"
"Jo Su-Hukk","South Koorea","FC Seoul","Seoul World Cup Stadium서울월드컵경기장"
"Jo Su-Huk","SSouth Korea","Football Club Seoul","Seoul World Cup Stadium서울월드컵경기장"
"Jo Su-Hukkk","South Korea","FC 서울","Seoul World Cup Stadium서울월드컵경기장"
"Joe Souleymane Dit  Guyan Kanté","Ivory Coast","ASEC Mimosas","Stade Félix Houphouët-Boigny"
"Joe Souleymane Dit Guyan Kanté","Ivory Coastt","Association Sportive des Employés de Commerce Mimosas","Stade Félix Houphouët-Boigny"
"Johann  Durandd","France","Servette","Stade de Genève"
"Johann  Durandd","France","Association du","Stade de Genève"
"Johann Durandd","France","Servette Football Club","Stade de Genève"
"Johanness Spillmannn","Netherlands","Alemannia 1900 e.V.","Tivoli"
"Johannes Spillmannn","Netherlands","Alemannia Aachen","Tivoli"
"Johannes Spillmannn","Netherlands","Aachener Turn- und Sportverein","Tivoli"
"Jonas Selaa","Germany","Mainz 05","Opel Arena"
"Jonas  Sela","Germany","1. Fußball- und Sport-Verein Mainz 05 e.V.","Opel Arena"
"Jonás Sélaaa","Germanyy","1. Fußball- und Sport-Verein Mainz 05 e.V.","Opel Arena"
"Jonáás Sélaa","Germany","Mainz 05","Opel Arena"
"Joseph-Antoine Bellll","Cameeroon","Girondins de Bordeaux","Matmut Atlantique"
"Joseph-Antoiine Bell","Caameroon","Football Club des","Matmut Atlantique"
"Joseph-Antoine Belll","Cameroonn","Bordeaux","Matmut Atlantique"
"José  Burtovoy","Argentina","Santa Fe","Estadio Nemesio Camacho"
"José  Burtovooy","Argentina","Wilstermann","Estadio Sudamericano Félix Capriles"
"José BBurtovoyy","Argentiina","Club Deportivo Jorge Wilstermann","Estadio Sudamericano Félix Capriles"
"Jossé Burtovoyy","Argenntina","Independiente Santa Fe S.A.","Estadio Nemesio Camacho"
"José Carlos da Costa Araújooo","Brazill","Esporte Clube Vitória","Estádio Manoel Barradas"
"José Carlos da Costa Araújoo","Brrazil","Vitória","Estádio Manoel Barradas"
"José Carlos da Costa Araújooo","Brazil","Esporte Clube Vitória","Barradão"
"José Carlos da Costa Araújooo","Brazill","Vitória","Barradão"
"José Pablo Burtovoyy","Argentinaa","Independiente Santa Fe S.A.","Estadio Nemesio Camacho"
"José Pablo Burtovoyy","Argentinaa","Club Deportivo Jorge Wilstermann","Estadio Sudamericano Félix Capriles"
"José Pablo Burrtovoy","Argentinaa","Santa Fe","Estadio Nemesio Camacho"
"José Pablo Burtovoy","Argentinaa","Wilstermann","Estadio Sudamericano Félix Capriles"
"José Pablo Burtovoy Sansone","Argentinaa","Santa Fe","Estadio Nemesio Camacho"
"José Pablo Burtovoy Sansonee","Argentina","Wilstermann","Estadio Sudamericano Félix Capriles"
"Joséé Pablo Burtovoy Sansonee","Argentinaa","Independiente Santa Fe S.A.","Estadio Nemesio Camacho"
"José Pablo Burrtovoy Sansonne","Argentiina","Club Deportivo Jorge Wilstermann","Estadio Sudamericano Félix Capriles"
"João Godinhooo","Portugall","Benfica","Estádio da Luz"
"João Godinhooo","Portugall","Sport Lisboa e Benfica","Estádio da Luz"
"Jooão Godinhoo","Portugal","Benfica","Estádio do Sport Lisboa e Benfica"
"João Godinhooo","PPortugal","Sport Lisboa e Benfica","Estádio do Sport Lisboa e Benfica"
"JJuan de Dios Ibarra","Mexicoo","Club de Fútbol Monterrey","Estadio BBVA Bancomer"
"Juan de DDios Ibarra Corrall","Mexico","Club de Fútbol Monterrey","Estadio BBVA Bancomer"
"Julián Ramiro Viáfara Mesaaa","Colombia","Esporte Clube Vitória","Estádio Manoel Barradas"
"Julián Ramiro Viáfara Mesa","Colombiaa","Vitória","Estádio Manoel Barradas"
"Julián Ramiro Viáfara Mesa","Colombiaa","Esporte Clube Vitória","Barradão"
"Julián Ramiro Viáfara Mesaa","Colombbia","Vitória","Barradão"
"Julián Viáfaraa","Colombiaa","Esporte Clube Vitória","Estádio Manoel Barradas"
"Julián Viiáfara","Colombia","Vitória","Estádio Manoel Barradas"
"Julián Viáfaraa","Colombia","Esporte Clube Vitória","Barradão"
"Julián Viáfaaraa","Colombiaa","Vitória","Barradão"
"JJéferson","Brazil","Tupi","Estádio Municipal Radialista Mário Helênio"
"Jéfersoonn","Brazzil","Tupi Football Club","Estádio Municipal Radialista Mário Helênio"
"Jéferson Gomess","Brazil","Tupi","Estádio Municipal Radialista Mário Helênio"
"Jéferson Gomess","Brazill","Tupi Football Club","Estádio Municipal Radialista Mário Helênio"
"Jéferrson Gomes do Nascimento","Brazil","Tupi","Estádio Municipal Radialista Mário Helênio"
"Jéferson Gomes do  Nascimento","Braazil","Tupi Football Club","Estádio Municipal Radialista Mário Helênio"
"Jérôme Priorr","Francee","Football Club des","Matmut Atlantique"
"Jérôme  Prior","Fraance","Girondins de Bordeaux","Matmut Atlantique"
"Jérômee Priorr","France","Bordeaux","Matmut Atlantique"
"Jörg Schmadtkeee","Germanyy","Fortuna Düsseldorf","ESPRIT arena"
"Jörg Schmadtkee","Germany","Düsseldorfer Turn- und Sportverein","ESPRIT arena"
"Jörg Schmadttke","Germmany","Fortuna 1895 e.V.","ESPRIT arena"
"Júlio César","Brazill","Botafogo Futebol Clubе","Estádio Santa Cruz"
"Júlio Césarr","Brazill","Botafogo de Ribeirão Preto","Estádio Santa Cruz"
"Júlio César Martinss","Brazill","Botafogo Futebol Clubе","Estádio Santa Cruz"
"Júllio César Martinss","Brazill","Botafogo de Ribeirão Preto","Estádio Santa Cruz"
"Júlio SSérgio","Brazil","Botafogo Futebol Clubе","Estádio Santa Cruz"
"Júlio Sérgio","Brazill","Juventude","Estádio Alfredo Jaconi"
"Júlio  Sérgioo","Brazil","Esporte Clube Juventude","Estádio Alfredo Jaconi"
"Júlio Sérgioo","Braziil","Botafogo de Ribeirão Preto","Estádio Santa Cruz"
"Júlio Sérgio Bertagnolii","Brrazil","Botafogo Futebol Clubе","Estádio Santa Cruz"
"Júlio  Sérgio Bertagnolii","Brazzil","Juventude","Estádio Alfredo Jaconi"
"Júlio SSérgio Bertagnoli","Brazill","Esporte Clube Juventude","Estádio Alfredo Jaconi"
"Júliio Sérgio Bertagnoli","Brazill","Botafogo de Ribeirão Preto","Estádio Santa Cruz"
"Karim Saoulaaa","Algeria","Mouloudia Club d'Oran","Stade Ahmed Zabana"
"Karim Saoulaa","Algeriaa","Mouloudia Club d'Oran","ملعب أحمد زبانة"
"Karim  Saoulaa","Algeriaa","Mouloudia d'Oran","Stade Ahmed Zabana"
"Karim Saoulaa","Algeriaa","Mouloudia d'Oran","ملعب أحمد زبانة"
"Karim Saoulaaa","Algeria","مولودية وهران","Stade Ahmed Zabana"
"Karim Saoulaaa","Algeria","مولودية وهران","ملعب أحمد زبانة"
"Karim Saoulaaa","Algerria","نادي مولودية وهران","Stade Ahmed Zabana"
"Karim Saoula","Algeria","نادي مولودية وهران","ملعب أحمد زبانة"
"Kenny Stamatopoulosss","Grreece","Allmänna Idrottsklubben","Friends Arena"
"Kenny Stamatopouloss","Greecee","AIK","Friends Arena"
"Kerrem İnann","Istaanbul","Karşıyaka Spor Kulübü","İzmir Atatürk Stadyumu"
"Kerrem İnann","Istanbull","Karşıyaka","İzmir Atatürk Stadyumu"
"Kim Ho-Junnn","South Korea","제주 유나이티드","Jeju World Cup Stadium"
"Kim HHo-Jun","South Koreaa","제주 유나이티드 FC","Jeju World Cup Stadium"
"Kim Ho--Jun","South Korea","FC Seoul","Seoul World Cup Stadium서울월드컵경기장"
"Kim Ho-Junn","South KKorea","Jeju United","Jeju World Cup Stadium"
"Kim Ho-Junn","South Koreaa","Jeju United Football Club","Jeju World Cup Stadium"
"Kim HHo-Jun","South Korea","FC 서울","Seoul World Cup Stadium서울월드컵경기장"
"Kim Ho-Junn","Soutth Korea","Football Club Seoul","Seoul World Cup Stadium서울월드컵경기장"
"Kim Ho-juun","South Korea","FC Seoul","Seoul World Cup Stadium서울월드컵경기장"
"Kiim Ho-junn","South Koreaa","제주 유나이티드 FC","Jeju World Cup Stadium"
"Kim Ho-junnn","South Koreaa","제주 유나이티드","Jeju World Cup Stadium"
"Kim Ho-junn","Soouth Korea","FC 서울","Seoul World Cup Stadium서울월드컵경기장"
"Kim Ho-jun","South Korea","Football Club Seoul","Seoul World Cup Stadium서울월드컵경기장"
"Kim Ho-junn","South Korea","Jeju United Football Club","Jeju World Cup Stadium"
"Kim Ho-junn","South Koreaa","Jeju United","Jeju World Cup Stadium"
"Kim  Yonng-Dae","South Korea","FC 서울","Seoul World Cup Stadium서울월드컵경기장"
"Kim Yong-Daee","Souuth Korea","Football Club Seoul","Seoul World Cup Stadium서울월드컵경기장"
"Kim Yong-Daee","South Korrea","FC Seoul","Seoul World Cup Stadium서울월드컵경기장"
"Kim Yong-dae","South Koreaa","FC Seoul","Seoul World Cup Stadium서울월드컵경기장"
"Kim Yong-daee","South Koreea","Football Club Seoul","Seoul World Cup Stadium서울월드컵경기장"
"Kim Yong-daee","Soouth Korea","FC 서울","Seoul World Cup Stadium서울월드컵경기장"
"Kwon Junng-Hyuk","South Koreaa","FC Seoul","Seoul World Cup Stadium서울월드컵경기장"
"Kwon Jung-Hyukk","South Korea","Football Club Seoul","Seoul World Cup Stadium서울월드컵경기장"
"Kwon Jung-Hyukkk","South Koreaa","FC 서울","Seoul World Cup Stadium서울월드컵경기장"
"Kwon Jung-hyuk","SSouth Korea","FC 서울","Seoul World Cup Stadium서울월드컵경기장"
"Kwon Jung-hyukk","South Koreaa","Football Club Seoul","Seoul World Cup Stadium서울월드컵경기장"
"Kwon Jung-hyukk","South Korea","FC Seoul","Seoul World Cup Stadium서울월드컵경기장"
"Kyriakos Stamatopoulosss","Greece","Allmänna Idrottsklubben","Friends Arena"
"Kyriakos Staamatopouloss","Greece","AIK","Friends Arena"
"Lalthuammawia Ralltee","India","নৰ্থ ইষ্ট ইউনাইটেড এফ চি","Indira Gandhi Athletic Stadium"
"Lalthuammawia Raltee","Indiaa","NorthEast United FC","Indira Gandhi Athletic Stadium"
"Lauurențiu Brănescuu","Romania","Juventus","Juventus Stadium"
"Laurențiu Brănescuu","Romaniaa","Juventus Football ClubS.p.A.","Juventus Stadium"
"Laurențiu Constantin Brănescuu","Romaniaa","Juventus","Juventus Stadium"
"Laurențiu Constantin Brănescu","Romania","Juventus Football ClubS.p.A.","Juventus Stadium"
"Leandro  Castellanos","Colombia","Santa Fe","Estadio Nemesio Camacho"
"Leandro Castellanoss","Colombia","Independiente Santa Fe S.A.","Estadio Nemesio Camacho"
"Leee","Brazil","Vitória","Barradão"
"Leee","Brazill","Esporte Clube Vitória","Barradão"
"Leeee","Brazill","Vitória","Estádio Manoel Barradas"
"Leeee","Brazill","Esporte Clube Vitória","Estádio Manoel Barradas"
"Lee Jin-Hyungg","South Koreaa","Jeju United","Jeju World Cup Stadium"
"Lee Jin-Hyungg","Soutth Korea","Jeju United Football Club","Jeju World Cup Stadium"
"Lee Jin--Hyung","South Koreaa","제주 유나이티드","Jeju World Cup Stadium"
"Leee Jin-Hyungg","South Koreaa","제주 유나이티드 FC","Jeju World Cup Stadium"
"Lee Winston Leandro daa Silva Oliveiraa","Brazill","Vitória","Barradão"
"Lee Winston Leandro da Silva Oliveiraa","Brazill","Esporte Clube Vitória","Barradão"
"Lee Winston Leandro da Silva Oliveiraaa","Brazzil","Vitória","Estádio Manoel Barradas"
"Lee Winston Leanndro da Silva Oliveira","Braziil","Esporte Clube Vitória","Estádio Manoel Barradas"
"Leee Yong-Ball","Soutth Korea","Jeju United Football Club","Jeju World Cup Stadium"
"Lee Yong-BBal","South Korea","제주 유나이티드","Jeju World Cup Stadium"
"Lee Yong-Balll","South Koreaa","제주 유나이티드 FC","Jeju World Cup Stadium"
"Lee Yong-BBal","South Koreaa","Jeju United","Jeju World Cup Stadium"
"Lee Yong-ball","South Korea","제주 유나이티드 FC","Jeju World Cup Stadium"
"Lee Yong-bal","South Koreaa","Jeju United","Jeju World Cup Stadium"
"Lee Yong-ball","South Korea","Jeju United Football Club","Jeju World Cup Stadium"
"Lee Yong-ball","South KKorea","제주 유나이티드","Jeju World Cup Stadium"
"Leonardo Díazz","Argentina","Huracán","Estadio Tomás A. Ducó"
"Leonarddo Díazz","Argentina","Club Atlético Huracán","Estadio Tomás A. Ducó"
"Leonardo Figueroaaa","Chilee","Universidad de Concepción","Estadio Ester Roa"
"Leonardo Figueroa","Chilee","de Concepción","Estadio Municipal Alcaldesa Ester Roa Rebolledo"
"Leonarddo Figueroa","Chile","Club Deportivo Universidad","Estadio Ester Roa"
"Leonardo Figueroa","Chilee","Club Deportivo Universidad","Estadio Municipal Alcaldesa Ester Roa Rebolledo"
"Leonardo Figueroaaa","Chile","de Concepción","Estadio Ester Roa"
"Leonardo Figueroaa","Chhile","Universidad de Concepción","Estadio Municipal Alcaldesa Ester Roa Rebolledo"
"Leonardo Nicolás Díaz","Argentiina","Huracán","Estadio Tomás A. Ducó"
"Leonardo Nicolás Díazz","Argentinaa","Club Atlético Huracán","Estadio Tomás A. Ducó"
"Leonidas Panagopouloss","Greece","Fotbal Club Universitatea Cluj","Cluj Arena"
"Leonidas Panagopoulos","Greecee","Universitatea Cluj","Cluj Arena"
"Lorenzo Squizziii","Itaaly","Juventus Football ClubS.p.A.","Juventus Stadium"
"Lorenzo Squuizzi","IItaly","Juventus","Juventus Stadium"
"Lounès Gaouaouiii","Algeriaa","USM Annaba","Stade 19 Mai 1956"
"Lounès Gaouaouii","Algeriaa","Union Sportive Médinat d'Annaba","Stade 19 Mai 1956"
"Luca Moondinii","Italy","Napoli","San Paolo"
"Luca Mondiniii","Italy","Napoli","Stadio San Paolo"
"Luca Mondiniii","Italyy","Società Sportiva Calcio Napoli S.p.A.","San Paolo"
"Luca Mondini","Italy","Società Sportiva Calcio Napoli S.p.A.","Stadio San Paolo"
"Luuciano Bodinii","Italy","Juventus","Juventus Stadium"
"Luciano Bodiniii","Italyy","Juventus Football ClubS.p.A.","Juventus Stadium"
"Ludovic Butelle","Francee","Valencia","Mestalla"
"Ludovic Butelle","France","Valencia Club de Fútbol,SAD","Mestalla"
"Luigi Sepe","Italyy","Società Sportiva Calcio Napoli S.p.A.","Stadio San Paolo"
"Luigi Sepee","Italyy","Napoli","San Paolo"
"Luigi  Sepe","IItaly","Napoli","Stadio San Paolo"
"Luigi Seepee","Italyy","Società Sportiva Calcio Napoli S.p.A.","San Paolo"
"Luis Enrique Martínez Rodríguez","Colombiaa","Santa Fe","Estadio Nemesio Camacho"
"Luis Enrique MMartínez Rodríguezz","Colombiaa","Independiente Santa Fe S.A.","Estadio Nemesio Camacho"
"Luiz Carloss","Brazil","Esporte Clube Juventude","Estádio Alfredo Jaconi"
"Luiz Carlosss","Brazzil","Juventude","Estádio Alfredo Jaconi"
"Luiz Carlos Oliveira de Bitencourttt","Brazill","Juventude","Estádio Alfredo Jaconi"
"Luiz Carlos Oliveira de Bitencourttt","Brazil","Esporte Clube Juventude","Estádio Alfredo Jaconi"
"Luuiz Felipe Ventura dos Santoss","Brazil","Esporte Clube Vitória","Barradão"
"Luiz Felipe Ventura dos Santoss","Brazill","Vitória","Barradão"
"Luiz  Felipe Ventura dos Santoss","Brazzil","Vitória","Estádio Manoel Barradas"
"Luiz Felipe Venttura dos Santoss","Brazill","Esporte Clube Vitória","Estádio Manoel Barradas"
"Luiz Gustavo de Almeida Pintoo","Brazil","Vitória","Estádio Manoel Barradas"
"Luiz Gustavo de Almeida Pintoo","BBrazil","Esporte Clube Vitória","Estádio Manoel Barradas"
"Luiz Gustavo de Almeida Pintoo","Braazil","Esporte Clube Vitória","Barradão"
"Luizz Gustavo de Almeida Pintoo","Brazil","Vitória","Barradão"
"Luís Henrrique","Brazzil","Botafogo Futebol Clubе","Estádio Santa Cruz"
"Luís Henriquee","Brazil","Botafogo de Ribeirão Preto","Estádio Santa Cruz"
"Luís Henrique Diass","Brrazil","Botafogo Futebol Clubе","Estádio Santa Cruz"
"Luís Henrique Dias","Brazill","Botafogo de Ribeirão Preto","Estádio Santa Cruz"
"M. A. Yahyavi Kalkhorann","IIran","استقلال","Azadi Stadium"
"M. A. Yahyavi Kalkhoran","Iran","Esteghlal","Azadi Stadium"
"M. A. Yahyavi Kalkhorann","Irann","Esteghlal Tehran Football Club","Azadi Stadium"
"Magrão","Braazil","Botafogo Futebol Clubе","Estádio Santa Cruz"
"Magrãooo","Brazill","Botafogo de Ribeirão Preto","Estádio Santa Cruz"
"Mahyar Hassan Nejad Hamidii","Iran","Esteghlal","Azadi Stadium"
"Mahyar Hassan Nejad Hamidiii","Irann","استقلال","Azadi Stadium"
"Mahyar Hassan Nejad Hamidii","Iran","Esteghlal Tehran Football Club","Azadi Stadium"
"Mahyar Hassan-Nejad","Iran","Esteghlal","Azadi Stadium"
"Mahyar Hassan-Nejaddd","Iran","استقلال","Azadi Stadium"
"Mahyar Hassan-Nejadd","Irann","Esteghlal Tehran Football Club","Azadi Stadium"
"Mahyar Hassannejadd","Irann","Esteghlal","Azadi Stadium"
"Mahyar Hassannejad","Iran","استقلال","Azadi Stadium"
"Mahyar Hassannejadd","Iraan","Esteghlal Tehran Football Club","Azadi Stadium"
"Majid Reezaeii","Irann","Esteghlal Tehran Football Club","Azadi Stadium"
"Majid Rezaeii","Irann","Esteghlal","Azadi Stadium"
"Majidd Rezaeii","IIran","استقلال","Azadi Stadium"
"Maksim Igorevich Shvagirev","Russsia","Kuban","Kuban Stadium"
"Maksim Igorevich Shvagirevv","Russia","Футбольный клуб Кубань Краснодар","Kuban Stadium"
"Maksim Shvagirevvv","Russia","Футбольный клуб Кубань Краснодар","Kuban Stadium"
"Maksim Shvagirevv","Russia","Kuban","Kuban Stadium"
"Mansour Rashidii","Irann","Naft Tehran","Takhti Tehran"
"Mansour Rashidii","Iraan","باشگاه فوتبال نفت تهران","Takhti Tehran"
"Mansour Rashiddii","Iran","نفت تهران","Takhti Tehran"
"Mansour  Rashidii","Irann","Naft Tehran Football Club","Takhti Tehran"
"Mansour Rashidiii","Iran","نفت تهران","Takhti Tehran Stadium"
"Mansour Rashidii","Iran","Naft Tehran Football Club","Takhti Tehran Stadium"
"Manssour Rashidii","Irann","Naft Tehran","Takhti Tehran Stadium"
"Mansour Rashidi","IIran","باشگاه فوتبال نفت تهران","Takhti Tehran Stadium"
"Marcelo Alberto Barrovero","Argentinaa","Huracán","Estadio Tomás A. Ducó"
"Marcelo Alberto Baroveroo","Argentinaa","Club Atlético Huracán","Estadio Tomás A. Ducó"
"Marcelo Baroverro","Argentinaa","Club Atlético Huracán","Estadio Tomás A. Ducó"
"Marcelo Baroveroo","Argentina","Huracán","Estadio Tomás A. Ducó"
"Marccelo Boeck","Brazil","Sporting CP","Estádio José Alvalade"
"Marcelo Boeckk","Brazil","Sporting Clube de Portugal","Estádio José Alvalade"
"Marcelo Bonann","Braziil","Nacional Futebol Clube","Arena da Amazônia"
"Marcelo Bonaann","Brazil","Nacional","Arena da Amazônia"
"Marco Ambrosioo","Italy","Grasshopper Club Zürich","Letzigrund"
"Marco Ambrosiioo","Ittaly","Grasshopper Club Zürich","Stadion Letzigrund"
"Marco Antonio Barrero","Bolivia","Club Deportivo Jorge Wilstermann","Estadio Sudamericano Félix Capriles"
"Marco Antonnio  Barrero","Boliviaa","Wilstermann","Estadio Sudamericano Félix Capriles"
"Marco Antonio Barrero Jordánn","BBolivia","Club Deportivo Jorge Wilstermann","Estadio Sudamericano Félix Capriles"
"Marco Antonio  Barrero Jordán","Boliviaa","Wilstermann","Estadio Sudamericano Félix Capriles"
"Marco Aulbachhh","Germanyy","1. Fußball- und Sport-Verein Mainz 05 e.V.","Opel Arena"
"Marco Aulbachh","Germany","Mainz 05","Opel Arena"
"Marrco Landucci","Italyy","Juventus","Juventus Stadium"
"Marco Landducci","Itaaly","Juventus Football ClubS.p.A.","Juventus Stadium"
"Marco Roccatii","IItaly","Napoli","San Paolo"
"Marco Roccatii","Ittaly","Napoli","Stadio San Paolo"
"Marco Roccatii","Italyy","Società Sportiva Calcio Napoli S.p.A.","San Paolo"
"Marco Roccatii","Italyy","Società Sportiva Calcio Napoli S.p.A.","Stadio San Paolo"
"Marco Storarii","Italyy","Napoli","San Paolo"
"Marco Storari","Italy","Napoli","Stadio San Paolo"
"Marco Storarii","Italy","Società Sportiva Calcio Napoli S.p.A.","San Paolo"
"Marco Storari","Italy","Società Sportiva Calcio Napoli S.p.A.","Stadio San Paolo"
"Marco Storari","Italyy","Juventus","Juventus Stadium"
"Marco Storariii","Italy","Juventus Football ClubS.p.A.","Juventus Stadium"
"Mario Da Pozzoo","Italy","Napoli","San Paolo"
"Mario Da Pozzo","Italyy","Napoli","Stadio San Paolo"
"Mario Da Pozzoo","Itaaly","Società Sportiva Calcio Napoli S.p.A.","San Paolo"
"Mario Da Pozzooo","Italyy","Società Sportiva Calcio Napoli S.p.A.","Stadio San Paolo"
"Mark  Flekken","Netherlannds","Alemannia Aachen","Tivoli"
