Date,Title/Description,Category,Type
,"2013-03-26 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
,"2013-04-09 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
01/30/2014,"2013-04-13 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
,"2013-04-23 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
,"2013-05-14 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
,"2013-05-29 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
,"2013-06-11 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
,"2013-06-25 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
,"2013-07-09 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
,"2013-08-13 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
,"2013-08-27 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
,"2013-09-10 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
09/24/2013,"2013-09-24 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
10/08/2013,"2013-10-08 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
10/21/2013,"2013-10-21 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
11/06/2013,"2013-11-06 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
11/26/2013,"2013-11-26 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
12/17/2013,"2013-12-17 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
01/07/2014,"2014-01-07 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
01/28/2014,"2014-01-28 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
02/25/2014,"2014-02-25 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
03/11/2014,"2014-03-11 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
03/25/2014,"2014-03-25 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,
04/08/2014,"2014-04-08 Land Planning, EMA, Courts and Inspection Services Agneda",Committees - Land Planning EMA Courts Inspection Services,pdf
04/22/2014,"2014-04-22 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
05/06/2014,"2014-05-06 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
06/10/2014,"2014-06-10 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
06/25/2014,"2014-06-25 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
07/08/2014,"2014-07-08 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
07/22/2014,"2014-07-22 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
08/12/2014,"2014-08-12 Land Planning, EMA, Courts and Inspection Sevices Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
08/26/2014,"2014-08-26 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
09/09/2014,"2014-09-09 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
09/23/2014,"2014-09-23 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
10/07/2014,"2014-10-07 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
10/28/2014,"2014-10-28 Land Planning, EMA, Courts and Inspection Services Agenda",Committees - Land Planning EMA Courts Inspection Services,pdf
,2011-12-01 Active Contracts,General,pdf
,2012-05-01Active Contracts,General,pdf
,Active Contracts,General,pdf
,Business Entity License Ordinace 1801,General,pdf
,Immigration Act 2011-535,General,pdf
,Jefferson County Online Directory,General,pdf
,Occupational Tax Infomation,General,pdf
,Jefferson County Ch 9. Event Notice CUSIP,General - Bankruptcy Documents,pdf
,Jefferson County Ch. 9 Notice to Employees,General - Bankruptcy Documents,pdf
,Jefferson County Ch. 9 Notice to Vendors,General - Bankruptcy Documents,pdf
,Jefferson County Ch. 9 Notice to Vendors- Updated,General - Bankruptcy Documents,pdf
,Jefferson County Ch. 9 Press Release,General - Bankruptcy Documents,pdf
,Jefferson County Ch. 9 Resolution,General - Bankruptcy Documents,pdf
,Jefferson ounty Ch 9 Petition,General - Bankruptcy Documents,pdf
,Business License Annual Receipts Affidavit,General - Business License Affidavit,pdf
,Jefferson County CFO Posting,General - Docs,pdf
,Oil and Grease Recycling Program,General - Docs,pdf
,General Obligation Debt Press Release,General - GO Debt Resolutions,pdf
,General Obligation Debt Resolution,General - GO Debt Resolutions,pdf
,Sewer Use Administration Ordinance - Adopted,General - Sewer Ordinances,pdf
,Sewer Use Charge Ordinance - Adopted,General - Sewer Ordinances,pdf
,Aflac Cancellation Notice,HR - Benefits,pdf
,Annual Notices,HR - Benefits,pdf
,BCBS Change Form BLANK,HR - Benefits,pdf
,Benefit Rate Sheet,HR - Benefits,pdf
,Benefits Telephone Guide,HR - Benefits,pdf
,Blue Cross Blue Shield Summary Plan Description (SPD),HR - Benefits,pdf
,BlueCard PPO,HR - Benefits,pdf
,Change Term to Vol Life VADD102012,HR - Benefits,pdf
,Dearborn F019105LifeCert1and2,HR - Benefits,pdf
,Dental Benefits Summary,HR - Benefits,pdf
,DENTAL CHANGE FORMDELTA,HR - Benefits,pdf
,EDPM TREATMENT AUTHORIZATION FORM,HR - Benefits,pdf
,Flexible Spending Benefits Summary,HR - Benefits,pdf
,Flexible Spending PlanSummary of Material Modifications,HR - Benefits,pdf
01/22/2014,HIPAA Training Handouts,HR - Benefits,pdf
,HIPAA-PRIVACY-NOTICE,HR - Benefits,pdf
,Hiring Freeze,HR - Benefits,pdf
,HR Org Plan,HR - Benefits,pdf
,Humana VisionCare,HR - Benefits,pdf
,Legal Shield CANCELLATION FORM,HR - Benefits,pdf
,Life Insurance Benefit Summary,HR - Benefits,pdf
,Marital Affidavit for Common-Law Spouses,HR - Benefits,pdf
,Mental Health Benefits Highlights Sheet,HR - Benefits,pdf
,Mental HealthAddmDSPD201210rev121712,HR - Benefits,pdf
,Retiree Health Cost Options,HR - Benefits,pdf
,Retiree Matrix,HR - Benefits,pdf
,Summary of Benefits and Coverage,HR - Benefits,pdf
,Summary of Benefits and Coverage Uniform Glossary,HR - Benefits,pdf
,Vacation Leave Bank Form,HR - Benefits,pdf
,Vacation Leave Bank Withdrawal Form,HR - Benefits,pdf
,VISIONCHANGE FORM,HR - Benefits,pdf
,02-3 County Attorney вЂ“ Valid OperatorвЂ™s License,Info - AOS,pdf
,02-5 County Attorney вЂ“ Employee Unpaid Leaves of Absence (AWOL) вЂ“ amended 2/25/03,Info - AOS,pdf
,03-1 County Attorney - Access to Public Records Procedure and Fee Schedule - Amended 12/23/2008,Info - AOS,pdf
,03-2 County Commission вЂ“ Uniform Policy on Outside Work,Info - AOS,pdf
,04-1 County Commission вЂ“ Electronic Mail System,Info - AOS,pdf
,04-2 County Commission вЂ“ Procedures to Request Filling Unclassified Positions and for conducting structured interviews,Info - AOS,pdf
,04-3 County Commission вЂ“ Establish a uniform policy and procedure for the protection of the County's information and technology resources.,Info - AOS,pdf
,04-4 County Commission вЂ“ Domestic Violence,Info - AOS,pdf
,05-1 County Commission вЂ“ Establish a uniform policy and procedure governing sale or other conveyance of real property of the County for less than fair market value,Info - AOS,pdf
,05-3 County Commission вЂ“ Provisional Vacation and Sick Time,Info - AOS,pdf
,06-1 County Commission вЂ“ Use of Contractors for perform work on Merit System Employees,Info - AOS,pdf
,06-2 County Commission - Policy and Procedure for the use of paid Vacation Leave by Department Head,Info - AOS,pdf
,06-3 County Commission - Policy and procedure for implementation pertaining to the election provided to each Incumbent County Official of an automobile or expense allowance,Info - AOS,pdf
,07-1 County Commission - Policy and procedure to decide whether to appeal final judgements,Info - AOS,pdf
,07-2 County Commission - Unpaid Leave of Absence,Info - AOS,pdf
,07-2 County Commission - Unpaid Leave of Absence - Amended 12/14/10,Info - AOS,pdf
,07-5 Finance - Policy and Procedure for Payment of Unusual Demands,Info - AOS,pdf
,07-5 Finance - Policy and Procedure for Payment of Unusual Demands - Amended 12/14/10,Info - AOS,pdf
,08-4 County Commission - Notice to Potential Contractors/Equal Opportunity,Info - AOS,pdf
,10-1 County Commission - Policy and procedure for employee separation from active County service,Info - AOS,pdf
07/01/2014,14-1 To establish a policy relating to the consideration of certain contracts by the Commission,Info - AOS,pdf
,75-1 Data Processing - Organization,Info - AOS,pdf
,75-4 Central Laundry - Organization,Info - AOS,pdf
,75-5 Community Development - Project Environmental Review,Info - AOS,pdf
,75-6 Finance - Purchasing Policy,Info - AOS,pdf
,75-7 Finance - Budget Management Budget Execution,Info - AOS,pdf
,75-8 Finance - Budget Management Organization,Info - AOS,pdf
,76-1 Community Development - Grants Writing,Info - AOS,pdf
,76-3 General Services - Organization,Info - AOS,pdf
,76-4 Finance - Payroll Check Distribution,Info - AOS,pdf
,77-1 Finance - Payroll Acts of Nature,Info - AOS,pdf
,77-3 Community Development - Organization,Info - AOS,pdf
,77-4 Finance - Payroll Holiday & Court Pay Patrol Division,Info - AOS,pdf
,79-2 Right of Way - Vacation Fees,Info - AOS,pdf
,79-2 Right of Way - Vacation Fees - Amended 01/11/05,Info - AOS,pdf
,81-1 Finance - Payroll Sheriff OfficersвЂ™ Overtime,Info - AOS,pdf
,81-2 General Services - Internal Security,Info - AOS,pdf
,83-2 Finance - Payroll Deductions - amended 3/25/92,Info - AOS,pdf
,83-3 Cooper Green - Use by County Employees,Info - AOS,pdf
,84-2 Finance - Payroll Accrued Sick Leave,Info - AOS,pdf
,89-1 Fleet Management - Rolling Stock - Amended 04/20/04,Info - AOS,pdf
,"89-1 Fleet Management - Rolling Stock - amended 4/24/96, 2/26/02, 5/13/03, 5/20/03",Info - AOS,pdf
,89-1 Fleet Management - Rolling Stock - Amended 6/25/03,Info - AOS,pdf
,89-1 Fleet Management - Rolling Stock - Amended 8/24/04,Info - AOS,pdf
,89-2 General Services - Use of County Telephone Equipment,Info - AOS,pdf
,90-1 Finance - Process for Payment to Vendors,Info - AOS,pdf
,90-2 Finance - Purchasing Local Preference,Info - AOS,pdf
,"90-3 Finance - Risk Management General Authority - amended 2/28/96, 3/12/97",Info - AOS,pdf
,91-10 County Commission - Employee Suggestions and Awards,Info - AOS,pdf
,91-11 County Commission - Parking Ticket Validation - amended 11/05/91,Info - AOS,pdf
,91-3 Finance - Budget Changes,Info - AOS,pdf
,91-4 Finance - Risk Management Wartime Health Insurance - amended 8/18/92,Info - AOS,pdf
,91-5 County Commission - Fiscal Responsibility,Info - AOS,pdf
,"91-6 Finance - Risk Management Drug Free Workplace - amended 2/21/95, 5/28/97, 9/28/10",Info - AOS,pdf
,91-8 County Commission - Personal Use of Automobiles and Phones,Info - AOS,pdf
,91-9 Finance - Unusual Demands,Info - AOS,pdf
,92-2 Information Services - Acquisition of Computer Items - amended 8/27/97,Info - AOS,pdf
,92-3 County Commission - Use of Facsimile Machines Transmission,Info - AOS,pdf
,92-4 County Commission - Wearing of Identification Badges,Info - AOS,pdf
,92-5 County Commission - Solicitation,Info - AOS,pdf
,"92-6 County Attorney - Tuition Reimbursement - amended 7/13/93, 6/11/97",Info - AOS,pdf
,92-7 County Attorney - Sexual Harassment Prevention and Grievance,Info - AOS,pdf
,92-8 County Commission - Retirement Conversion Benefit - amended 3/31/93,Info - AOS,pdf
,92-8 County Commission - Retirement Conversion Benefit - Amended 5/24/11,Info - AOS,pdf
,93-1 Amended 11/13/01,Info - AOS,pdf
,93-1 Amended 12/12/06,Info - AOS,pdf
,93-1 Finance - Staff Development Policy - amended 3/13/96; amended 9/17/96;,Info - AOS,pdf
,93-2 Finance - Purchasing Procurement System and Procedures,Info - AOS,pdf
,93-3 County Commission - Smoking Policy вЂ“ amended 1/13/99,Info - AOS,pdf
,93-4 Construction and Communication - Assignment of 800 MHz Radio Telephone,Info - AOS,pdf
,94-1 County Attorney - Wrongful Use of County Name or Credit,Info - AOS,pdf
,94-2 County Attorney - Employee Unpaid Leaves of Absence вЂ“ amended 2/2/2000,Info - AOS,pdf
,96-1 Finance - Risk Management Involving Damage to Property,Info - AOS,pdf
,96-2 Finance-Risk Management - Light Duty Pool,Info - AOS,pdf
,99-1 County Commission-Vacation Leave Bank Plan вЂ“ amended 12/9/99,Info - AOS,pdf
,Administrative Order 09-1: Policy and Procedure Governing the Use of County Motor Vehicles,Info - AOS,pdf
,Administrative Order 09-2: Uniform Policy/Procedure for the Burial of Indigent Persons,Info - AOS,pdf
,Holiday List 2013-2014,Info - Holiday List,pdf
,02-12-00 $260 Million Warrants to be Issued,Info - News Releases,pdf
,03-10-01 Army Corps Withdraws Supersewer Permit,Info - News Releases,pdf
,03-14 Buckelew Receives NACo Award,Info - News Releases,pdf
,03-14-01 New Debt to Raise Rates 10 Percent,Info - News Releases,pdf
,03-30-01 McNair - Career marked by integrity,Info - News Releases,pdf
,03-30-01 McNair quits commission,Info - News Releases,pdf
,03-30-01 McNair's successor,Info - News Releases,pdf
,03-9-01 Public Hearing to Raise Sewer Rates,Info - News Releases,pdf
,03-9-01 US Agency Calls for Supersewer Suspension,Info - News Releases,pdf
,04-11-00 JEFFCO commitment concerning Honda,Info - News Releases,pdf
,05-23-00 County Commission Resolution for JeffCo Schools,Info - News Releases,pdf
,05-31-01 U.S. Supreme Court Rules,Info - News Releases,pdf
,06-19-00 Update with Respect to Litigation Challenging License Taxes,Info - News Releases,pdf
,06-23-01 Jeffco job tax ruled OK,Info - News Releases,pdf
,07-12-01 Investor Relations Forum,Info - News Releases,pdf
,07-18-01 Moody's Upgrades Debt to Aa3 from A1,Info - News Releases,pdf
,08-01-00 Sewer Plant Awards,Info - News Releases,pdf
,08-08-08 Jefferson County Commission Holds Additional Public Forum August 8th at 6:00 PM,Info - News Releases,pdf
,08-08-08 Jefferson County Commission Holds Public Forum August 8th,Info - News Releases,pdf
,08-12-08 Jefferson County Commission Holds Additional Public Forum August 12th at 6:00 PM,Info - News Releases,pdf
,09-06-00 JeffCo Health Care in National Spotlight,Info - News Releases,pdf
,09-07-00 Judge Woodall rules in favor of Jefferson County,Info - News Releases,pdf
,10-26-00 Amendment to Water Emergency,Info - News Releases,pdf
,12-17-01 Jefferson County Investor Relations Program,Info - News Releases,pdf
,2-13-00 Counties Asking For Help With Sewer Problems,Info - News Releases,pdf
,3-13-01 Environmental Lawyer Files Suit on US Agency,Info - News Releases,pdf
,8-1-01 Judge Rochester rulings,Info - News Releases,pdf
09/30/1997,Fiscal Year Ending - 1997,Investor Relations - Audits,pdf
09/30/1998,Fiscal Year Ending - 1998,Investor Relations - Audits,pdf
09/30/1999,Fiscal Year Ending - 1999,Investor Relations - Audits,pdf
09/30/2000,Fiscal Year Ending - 2000,Investor Relations - Audits,pdf
09/30/2001,Fiscal Year Ending - 2001,Investor Relations - Audits,pdf
09/30/2002,Fiscal Year Ending - 2002,Investor Relations - Audits,pdf
09/30/2003,Fiscal Year Ending - 2003,Investor Relations - Audits,pdf
09/30/2004,Fiscal Year Ending - 2004,Investor Relations - Audits,pdf
09/30/2005,Fiscal Year Ending - 2005,Investor Relations - Audits,pdf
09/30/2006,Fiscal Year Ending - 2006,Investor Relations - Audits,pdf
09/30/2007,Fiscal Year Ending - 2007,Investor Relations - Audits,pdf
09/30/2008,Fiscal Year Ending - 2008,Investor Relations - Audits,pdf
09/30/2009,Fiscal Year Ending - 2009,Investor Relations - Audits,pdf
09/30/2010,Fiscal Year Ending - 2010,Investor Relations - Audits,pdf
09/30/2011,Fiscal Year Ending - 2011,Investor Relations - Audits,pdf
09/30/2012,Fiscal Year Ending - 2012,Investor Relations - Audits,pdf
09/30/2013,Fiscal Year Ending - 2013,Investor Relations - Audits,pdf
09/30/2014,Fiscal Year Ending - 2014,Investor Relations - Audits,pdf
10/30/2003,FYE 2003 - Audit Corrected Page (25),Investor Relations - Audits,pdf
10/02/2000,CAFR 1999-2000: Combined Financial Statements,Investor Relations - CAFR,pdf
10/02/2000,CAFR 1999-2000: Financial Section,Investor Relations - CAFR,pdf
10/01/2000,CAFR 1999-2000: Introduction,Investor Relations - CAFR,pdf
10/02/2000,CAFR 1999-2000: Statistical Section,Investor Relations - CAFR,pdf
10/02/2001,CAFR 2000-2001: Combined Financial Statements,Investor Relations - CAFR,pdf
10/02/2001,CAFR 2000-2001: Financial Section,Investor Relations - CAFR,pdf
10/01/2001,CAFR 2000-2001: Introduction,Investor Relations - CAFR,pdf
10/02/2001,CAFR 2000-2001: Statistical Section,Investor Relations - CAFR,pdf
10/02/2002,CAFR 2001-2002: Combined Financial Statements,Investor Relations - CAFR,pdf
10/02/2002,CAFR 2001-2002: Financial Section,Investor Relations - CAFR,pdf
10/01/2002,CAFR 2001-2002: Introduction,Investor Relations - CAFR,pdf
10/02/2002,CAFR 2001-2002: Statistical Section,Investor Relations - CAFR,pdf
10/01/2003,CAFR 2003-2004: Comprehensive Annual Financial Report - 2003,Investor Relations - CAFR,pdf
10/01/2004,CAFR 2003-2004: Comprehensive Annual Financial Report - 2004,Investor Relations - CAFR,pdf
09/30/2009,Disclosure Report FY2009,Investor Relations - Financial Information - Continuing Disclosures,pdf
09/30/2010,Disclosure Report FY2010,Investor Relations - Financial Information - Continuing Disclosures,pdf
09/30/2011,Disclosure Report FY2011,Investor Relations - Financial Information - Continuing Disclosures,pdf
09/30/2012,Disclosure Report FY2012,Investor Relations - Financial Information - Continuing Disclosures,pdf
,"Single Audit - FYE - September 30, 2008",Investor Relations - Financial Information - Single Audits,pdf
,11th Supplement,Investor Relations - Library,pdf
,1993 - Official Statement,Investor Relations - Library,pdf
,1993 - Partial Redemption,Investor Relations - Library,pdf
,1997-A-B-C - Official Statement,Investor Relations - Library,pdf
,1997-A-B-C- Original Indenture,Investor Relations - Library,pdf
,1997-D - Official Statement,Investor Relations - Library,pdf
,1997-D- 1st Supplement,Investor Relations - Library,pdf
,1999-A- 2nd Supplement,Investor Relations - Library,pdf
,2001-A- 3rd Supplement,Investor Relations - Library,pdf
,2001-A Official Statement,Investor Relations - Library,pdf
,2001-B - Official Statement,Investor Relations - Library,pdf
,2002-A - Official Statement,Investor Relations - Library,pdf
,2002-A- 4th Supplement,Investor Relations - Library,pdf
,2002-B - Official Statement,Investor Relations - Library,pdf
,2002-C - Escrow Trust Agreement,Investor Relations - Library,pdf
,2002-C - Official Statement,Investor Relations - Library,pdf
,2002-C- 6th Supplement,Investor Relations - Library,pdf
,2002-D - Official Statement,Investor Relations - Library,pdf
,2002-D- 7th Supplement,Investor Relations - Library,pdf
,2003-A - Official Statement,Investor Relations - Library,pdf
,2003-B - Escrow Trust Agreement,Investor Relations - Library,pdf
,2003-B - Official Statement,Investor Relations - Library,pdf
,2003-B- 9th Supplement,Investor Relations - Library,pdf
,2003-C - Official Statement,Investor Relations - Library,pdf
,2003-C - Trust Escrow Agreement,Investor Relations - Library,pdf
,2003-C- 10th Supplement,Investor Relations - Library,pdf
,2003-C- 8th Supplement,Investor Relations - Library,pdf
,2004-A - Capital Improvement,Investor Relations - Library,pdf
,2004-A Educational Sales Tax: Limited Obligation School Tax Litigation Update - 09/01/06,Investor Relations - Library,pdf
06/30/2014,2004-A Original Indenture School Warrants,Investor Relations - Library,pdf
06/30/2014,2005-A & B - Education Warrants: 2005-A & B - Official Statement - Education Warrants,Investor Relations - Library,pdf
,2005-A & B - Education Warrants: Certificate of Trustee - Limited Obligation School Warrants - 10/12/06,Investor Relations - Library,pdf
,2005-A & B - Education Warrants: No-Litigation Certificate - Limited Obligation School Warrants - 10/12/06,Investor Relations - Library,pdf
,2005-A & B - Education Warrants: Supreme Court Opinion - Warrant Issue/Related Tax Levy - 08/16/06,Investor Relations - Library,pdf
,2005-A & B- 1st Supplemental Indenture School Warrants,Investor Relations - Library,pdf
,"2006 - Official Statement - Lease Revenue Warrants - $86,745,000",Investor Relations - Library,pdf
,2006 - Official Statement - Second Supplemental - Lease Revenue Warrants,Investor Relations - Library,pdf
,2006 - Official Statement - Supplement - Lease Revenue Warrants,Investor Relations - Library,pdf
,Audit - Corrected Page (25) (2003),Investor Relations - Library,pdf
,Bond Call & Defeasance - 1997-A (2003-B),Investor Relations - Library,pdf
,Bond Call & Defeasance - 1997-A (2003-C),Investor Relations - Library,pdf
,Bond Call & Defeasance - 1997-D,Investor Relations - Library,pdf
,Bond Call & Defeasance - 1997-D (2003-B),Investor Relations - Library,pdf
,Bond Call & Defeasance - 1997-D (2003-C),Investor Relations - Library,pdf
,Bond Call & Defeasance - 1999-A,Investor Relations - Library,pdf
,Bond Call & Defeasance - 1999-A (2003-B),Investor Relations - Library,pdf
,Bond Call & Defeasance - 1999-A (2003-C),Investor Relations - Library,pdf
,Bond Call & Defeasance - 2001-A,Investor Relations - Library,pdf
,Bond Call & Defeasance - 2001-A (2003-B),Investor Relations - Library,pdf
,Bond Call & Defeasance - 2001-A (2003-C),Investor Relations - Library,pdf
,Bond Call & Defeasance - 2002-D (2003-B),Investor Relations - Library,pdf
,Bond Call & Defeasance - 2002-D (2003-C),Investor Relations - Library,pdf
,Commission 2006 Resolution of Organization,Investor Relations - Library,pdf
,Defeasance Opinion,Investor Relations - Library,pdf
09/30/2006,Fiscal Year Ending - 2006b,Investor Relations - Library,pdf
09/30/2007,Fiscal Year Ending - 2007b,Investor Relations - Library,pdf
09/30/2008,Fiscal Year Ending - 2008b,Investor Relations - Library,pdf
09/30/2009,Fiscal Year Ending - 2009b,Investor Relations - Library,pdf
09/30/2010,Fiscal Year Ending - 2010b,Investor Relations - Library,pdf
,Mandatory Tender Notice - 2002-C-5,Investor Relations - Library,pdf
,Mandatory Tender Notice - 2002-C-5,Investor Relations - Library,pdf
,Material Event Notice - 1997-A - Bond Call & Defeasance,Investor Relations - Library,pdf
,Material Event Notice - 1997-D - Bond Call & Defeasance,Investor Relations - Library,pdf
,Material Event Notice - 1999-A - Bond Call & Defeasance,Investor Relations - Library,pdf
,Material Event Notice - 2001-A - Bond Call & Defeasance,Investor Relations - Library,pdf
,Material Event Notice - 2002-D - Bond Call & Defeasance,Investor Relations - Library,pdf
,Notice of Partial Refunding - 1997-A,Investor Relations - Library,pdf
,Notice of Partial Refunding - 1997-A (2003-B) (Final),Investor Relations - Library,pdf
,Notice of Partial Refunding - 1997-A (2003-C)(Final),Investor Relations - Library,pdf
,Notice of Partial Refunding - 1997-D,Investor Relations - Library,pdf
,Notice of Partial Refunding - 1997-D (2003-B)(Final),Investor Relations - Library,pdf
,Notice of Partial Refunding - 1997-D (2003-C)(Final),Investor Relations - Library,pdf
,Notice of Partial Refunding - 1997-D (Final),Investor Relations - Library,pdf
,Notice of Partial Refunding - 1999-A,Investor Relations - Library,pdf
,Notice of Partial Refunding - 1999-A (2003-B) (Final),Investor Relations - Library,pdf
,Notice of Partial Refunding - 1999-A (Final),Investor Relations - Library,pdf
,Notice of Partial Refunding - 2001-A,Investor Relations - Library,pdf
,Notice of Partial Refunding - 2001-A (2003-B)(Final),Investor Relations - Library,pdf
,Notice of Partial Refunding - 2001-A (2003-C)(Final),Investor Relations - Library,pdf
,Notice of Partial Refunding - 2001-A (Final),Investor Relations - Library,pdf
,Notice of Partial Refunding - 2002-D,Investor Relations - Library,pdf
,Notice of Partial Refunding - 2002-D (2003-B)(Final),Investor Relations - Library,pdf
,Notice of Partial Refunding - 2002-D (2003-C)(Final),Investor Relations - Library,pdf
,Reoffering Circular - 2002-C-5,Investor Relations - Library,pdf
,Resolution - SRF Warrant 1997-C,Investor Relations - Library,pdf
,SEC RULE 15c2-12 FILINGS,Investor Relations - Library,pdf
04/02/2013,April 02 - 2013 - Material Event Notice - General Obligation Warrants,Investor Relations - Men,pdf
04/06/2012,April 06 - 2012 - Material Event Notice - General Obligation Warrants,Investor Relations - Men,pdf
04/06/2012,April 06 - 2012 - Material Event Notice - Public Building Authority,Investor Relations - Men,pdf
04/06/2012,April 06 - 2012 - Material Event Notice - Sewer Revenue Warrants,Investor Relations - Men,pdf
08/23/2012,August 23 - 2012 - Material Event Notice - Public Building Authority,Investor Relations - Men,pdf
02/01/2013,February 01 - 2013 - Material Event Notice - Sewer Revenue Warrants,Investor Relations - Men,pdf
02/07/2012,February 07 - 2012 - Material Event Notice,Investor Relations - Men,pdf
02/07/2012,February 07 - 2012 - Material Event Notice - Sewer Revenue Warrants,Investor Relations - Men,pdf
02/13/2012,February 13 - 2012 - Material Event Notice - Sewer Revenue Warrants,Investor Relations - Men,pdf
02/15/2013,February 15 - 2013 - Material Event Notice - Limited Obligation School Warrants,Investor Relations - Men,pdf
02/15/2013,February 15 - 2013 - Material Event Notice - Sewer Revenue Warrants,Investor Relations - Men,pdf
01/05/2012,January 05 - 2012 - Material Event Notice - Sewer Revenue Warrants,Investor Relations - Men,pdf
01/17/2013,January 17 - 2013 - Material Event Notice - Public Building Authority,Investor Relations - Men,pdf
01/25/2013,January 25 - 2013 - Material Event Notice - Sewer Revenue Warrants,Investor Relations - Men,pdf
07/09/2012,July 09 - 2012 - Material Event Notice - Sewer Revenue Warrants,Investor Relations - Men,pdf
07/01/2013,"July 1, 2013 - Material Event Notice - Bankruptcy Plan",Investor Relations - Men,pdf
07/01/2013,"July 1, 2013 - Material Event Notice - Sewer Revenue Warrants",Investor Relations - Men,pdf
07/29/2013,"July 29, 2013 - Material Event Notice - Lease Revenue Warrants",Investor Relations - Men,pdf
07/30/2013,"July 30, 2013 - Material Event Notice - Bankruptcy Plan",Investor Relations - Men,pdf
07/27/2013,"June 27, 2013 - Material Event Notice - Bankruptcy",Investor Relations - Men,pdf
06/04/2013,June 4 - 2013 - Material Event Notice - Sewer Revenue Warrants,Investor Relations - Men,pdf
04/20/2009,"Liquidity Facility Forbearance - April 20, 2009",Investor Relations - Men,pdf
08/18/2009,"Liquidity Facility Forbearance - August 18, 2009",Investor Relations - Men,pdf
12/05/2008,"Liquidity Facility Forbearance - December 5, 2008",Investor Relations - Men,pdf
03/12/2009,"Liquidity Facility Forbearance - GO Warrants - March 12, 2009",Investor Relations - Men,pdf
06/30/2009,"Liquidity Facility Forbearance - June 30, 2009",Investor Relations - Men,pdf
10/01/2008,"Liquidity Facility Forbearance - October 1, 2008",Investor Relations - Men,pdf
10/30/2008,"Liquidity Facility Forbearance - October 30, 2008",Investor Relations - Men,pdf
10/07/2008,"Liquidity Facility Forbearance - October 7, 2008",Investor Relations - Men,pdf
01/15/2009,"Liquidity Facility Forbearance (GO Warrants) - January 15, 2009",Investor Relations - Men,pdf
02/20/2009,"Liquidity Forbearance - February 20, 2009",Investor Relations - Men,pdf
03/06/2013,March 06 - 2013 - Material Event Notice - General Obligation Warrants,Investor Relations - Men,pdf
